"Draft","Seat","Colors","Archetype","Themes","Creatures","Noncreatures","Lands","Avg MV","Mainboard","Sideboard"
"1","1","Red/Blue","RU Artifacts","Artifacts","7","16","17","2.74","Coalition Relic, Nettlecyst, Karn, Scion of Urza, Displacer Kitten, Paradoxical Outcome, Manifold Key, Urza's Saga, Astrologian's Planisphere, Pinnacle Emissary, Mishra's Bauble, Lórien Revealed, Upheaval, Kappa Cannoneer, Thopter Foundry, Shadowspear, Expedition Map, Forensic Gadgeteer, Retrofitter Foundry, Island, Island, Island, Island, Island, Island, Island, Island, Island, Mishra's Workshop, Goblin Engineer, The Mightstone and Weakstone, Mind Stone, Mox Sapphire, Emry, Lurker of the Loch, Tolarian Academy, Otawara, Soaring City, Spirebluff Canal, City of Traitors, Flooded Strand, Jetmir's Garden, Third Path Iconoclast","Bolas's Citadel, Krang, Utrom Warlord, Tear Asunder, Occult Epiphany, Haywire Mite, Scythecat Cub, Noble Hierarch, Delayed Blast Fireball, Show and Tell, Memory Lapse, Phantasmal Image, Agatha's Soul Cauldron, Polluted Delta, Mystical Tutor"
"1","2","Green/Red/Blue","GRU Midrange Combo","Wizards","13","10","17","3.13","Vivi Ornitier, Mox Jet, Nadu, Winged Wisdom, Thassa's Oracle, Breeding Pool, Library of Alexandria, Taiga, Emeritus of Ideation, Badgermole Cub, Torsten, Founder of Benalia, Swamp, Black Widow, Super Spy, Quantum Riddler, Jace, Vryn's Prodigy, Treasure Cruise, Force of Vigor, Oko, Thief of Crowns, Loot, the Pathfinder, Ketria Triome, Daze, Tropical Island, Shifting Woodland, Botanical Sanctum, Faerie Mastermind, Force of Negation, Island, Island, Island, Island, Island, Boseiju, Who Endures, Volcanic Island, Lightning Greaves, Oath of Druids, Thundering Falls, Fastbond, Sneak Attack, Batroc the Leaper, Uro, Titan of Nature's Wrath, Temple Garden","Lingering Souls, Fear of Missing Out, Sewer-veillance Cam, Faithless Looting, Cori-Steel Cutter, Thought Scour, Currency Converter, Archon of Cruelty, Sylvan Safekeeper, Shorikai, Genesis Engine, Sandstorm Salvager"
"1","3","Black/Red","BR Midrange","Artifacts, Spells","8","15","17","1.91","Wasteland, Dragon's Rage Channeler, Badlands, Sheoldred's Edict, Mana Crypt, Suplex, Duress, Mox Emerald, Blood Crypt, Kolaghan's Command, Smuggler's Copter, Carnage Interpreter, Unearth, Detective's Phoenix, Swamp, Swamp, Swamp, Blackcleave Cliffs, Skullclamp, Blooming Marsh, Mind Twist, Night's Whisper, Overgrown Tomb, Laelia, the Blade Reforged, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Wheel of Fortune, Unholy Heat, Forest, Emperor of Bones, Voldaren Epicure, Bonecrusher Giant, Urborg, Tomb of Yawgmoth, Chrome Mox, Thoughtseize, Griselbrand","Traumatic Critique, Michelangelo, Weirdness to 11, Iron-Shield Elf, Lurrus of the Dream-Den, Lavaspur Boots, Talisman of Conviction, Mine Collapse, Melded Moxite, Proft's Eidetic Memory, Figure of Destiny, Blazing Rootwalla, Lush Portico, Goblin Bombardment, Thieving Skydiver, Exhume"
"1","4","Green/Red","GR Midrange Combo","Creatures","17","6","17","3.13","Avacyn's Pilgrim, Misty Rainforest, Stomping Ground, Multiversal Passage, Woodfall Primus, Fiery Confluence, Lightning Bolt, Mutagen Man, Living Ooze, Ouroboroid, Vibrance, Arena of Glory, Wooded Foothills, Llanowar Elves, Hexdrinker, Mana Vault, Etali, Primal Conqueror, Fanatic of Rhonas, Springheart Nantuko, Natural Order, Flame Slash, Copperline Gorge, Mountain, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Questing Beast, Endurance, Titania, Protector of Argoth, Malevolent Rumble, Bristly Bill, Spine Sower, Vaultborn Tyrant, Headliner Scarlett, Delighted Halfling","Seasoned Pyromancer, Squee, Goblin Nabob, Imperial Seal, Corpse Dance, Manamorphose, Anje's Ravager, Tersa Lightshatter, Legion Extruder, Pyrokinesis, Ivora, Insatiable Heir, Emeritus of Abundance, Flow State, Chain of Smog, Anger, Satyr Wayfinder, Galvanic Discharge"
"1","5","Blue/White","UW Control","Spells","4","19","17","2.48","Talisman of Progress, The Wandering Emperor, Balance, Tamiyo, Inquisitive Student, Grim Monolith, Spara's Headquarters, Phyrexian Metamorph, Wrath of God, Stern Scolding, Get Lost, Aang's Iceberg, Sol Ring, Raffine's Tower, Savannah, Razorverge Thicket, Seachrome Coast, Teferi, Time Raveler, Island, Island, Island, Island, Island, Island, Plains, Plains, Plains, Sink into Stupor, Mana Leak, Brazen Borrower, Aang, Swift Savior, Mystic Confluence, Starting Town, Spell Pierce, Path to Exile, Marsh Flats, No More Lies, Oust, Reprieve, Hallowed Fountain, Teferi, Hero of Dominaria","Metamorphosis Fanatic, Appa, Steadfast Guardian, Undercity Sewers, Everflowing Chalice, Staff of the Storyteller, Shadowy Backstreet, Kavaero, Mind-Bitten, Tamiyo, Collector of Tales, Zirda, the Dawnwaker, Sanguine Evangelist, Basking Rootwalla, Jennifer Walters, Guardian Scalelord, Serra Paragon"
"1","6","Black","B Sneak and Show","Spells","10","13","17","2.22","Prismatic Vista, Nethergoyf, Raucous Theater, Grief, Grist, the Hunger Tide, Fatal Push, Cut Down, Dark Confidant, Troll of Khazad-dûm, Entomb, Sheoldred, the Apocalypse, Inquisition of Kozilek, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Overlord of the Balemurk, Bitter Triumph, Underground Mortuary, Blazemire Verge, Hogaak, Arisen Necropolis, Shallow Grave, Reanimate, Moonshadow, Concealing Curtains, Toxic Deluge, Animate Dead, Wastewood Verge, Orcish Bowmasters, Mox Ruby, Vampiric Tutor, Mox Diamond","Wrenn and Six, Survival of the Fittest, Ragavan, Nimble Pilferer, Bloodtithe Harvester, Nissa, Who Shakes the World, Esika's Chariot, Vicious Rivalry, Town Greeter, Gau, Feral Youth, Once Upon a Time, Birds of Paradise, Damnation, Six, Marauding Mako, Tireless Tracker, Kaito, Bane of Nightmares, Fury"
"1","7","Red/White","RW Aggro","Humans","14","9","17","2.48","Parallax Wave, Palace Jailer, Ajani, Nacatl Pariah, Stoneforge Mystic, Adeline, Resplendent Cathar, Minsc & Boo, Timeless Heroes, Magda, Brazen Outlaw, Sacred Foundry, Karakas, Phelia, Exuberant Shepherd, Mother of Runes, Gut, True Soul Zealot, Chain Lightning, Elite Spellbinder, Elegant Parlor, Mountain, Mountain, Mountain, Council's Judgment, Swords to Plowshares, Flickerwisp, Guide of Souls, Ocelot Pride, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Fable of the Mirror-Breaker, Arid Mesa, Plateau, Raugrin Triome, Thraben Inspector, Broadside Bombardiers, Elspeth, Storm Slayer, Abrade, Dismember","Phyrexian Dragon Engine, Fire Covenant, Ephemerate, Prismatic Ending, Erode, Lotus Petal, Lion Sash, Portable Hole, Bone Shards, Okoye, Mighty and Adored, Mana Tithe, Goblin Welder, Damn, Leyline Binding, Generous Ent, Channel"
"1","8","Black/Red/Blue","BRU Combo","Spells","5","18","17","2.61","Stormchaser's Talent, Ponder, Lutri, the Spellchaser, Gush, Frantic Search, Urza's Bauble, Gitaxian Probe, Ancient Tomb, Echo of Eons, Underworld Breach, Hullbreacher, Yawgmoth's Will, Spellseeker, Riverpyre Verge, Swamp, Doomsday, Jace, the Mind Sculptor, Wishclaw Talisman, Demonic Tutor, Xander's Lounge, Force of Will, Mountain, Mountain, Mountain, Saheeli, Sublime Artificer, Island, Island, Island, Island, Island, Island, Island, Timetwister, Thundertrap Trainer, Psychic Frog, Flame of Anor, Lion's Eye Diamond, Shelldock Isle, Watery Grave, Zagoth Triome","Zuran Orb, Tezzeret, Cruel Captain, Chandra, Torch of Defiance, Collective Brutality, Horizon Canopy, Master of Death, Bloodchief's Thirst, The Wondrous Wasp, Crabomination, Vindicate, Yavimaya, Cradle of Growth, Pillage the Bog, Coveted Jewel, Through the Breach, Candelabra of Tawnos, Leovold, Emissary of Trest"
"2","1","Blue/White","UW Control","Spells","7","16","17","3.04","Tundra, Displacer Kitten, The Wandering Emperor, Fractured Identity, Multiversal Passage, Balance, Grim Monolith, Windswept Heath, Prismatic Ending, Wrath of God, Subtlety, Stern Scolding, Spellseeker, Lórien Revealed, Daze, Mox Pearl, Teferi, Time Raveler, Island, Island, Island, Island, Island, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Brazen Borrower, Aang, Swift Savior, Counterspell, Meticulous Archive, Skyclave Apparition, Shorikai, Genesis Engine, Eagles of the North, Unexpectedly Absent, No More Lies, Hallowed Fountain, Sunfall","Staff of the Storyteller, Sevinne's Reclamation, Mole Man, Moloid Master, Torsten, Founder of Benalia, Flash, Carnage Interpreter, Nissa, Who Shakes the World, Vindicate, Pillage the Bog, Wheel of Fortune, Leyline Binding, Plateau, Lightning Greaves, Omnath, Locus of Creation, Jetmir's Garden, Mystical Tutor, Dismember"
"2","2","Black/Blue","BU Combo","Spells, Wizards","8","15","17","2.83","Undercity Sewers, Frantic Search, Thassa's Oracle, Troll of Khazad-dûm, Stock Up, Emeritus of Ideation, Yawgmoth's Will, Malcolm, Alluring Scoundrel, Underground Sea, Consider, Jace, Wielder of Mysteries, Dark Ritual, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Jace, Vryn's Prodigy, Cabal Ritual, Kavaero, Mind-Bitten, Occult Epiphany, Raffine's Tower, Doomsday, Tendrils of Agony, Miscalculation, Darkslick Shores, Force of Negation, Island, Island, Island, Island, Island, Thundertrap Trainer, Urborg, Tomb of Yawgmoth, Chain of Smog, Thoughtseize, Vampiric Tutor, Griselbrand, Watery Grave","Metamorphosis Fanatic, Traumatic Critique, Everflowing Chalice, Urza's Bauble, Iron-Shield Elf, Sewer-veillance Cam, Mutagen Man, Living Ooze, Ursine Monstrosity, Savannah, Waterlogged Grove, Melded Moxite, Yavimaya, Cradle of Growth, Okoye, Mighty and Adored, Vicious Rivalry, Thraben Inspector, Emeritus of Truce"
