card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
"Adeline, Resplendent Cathar",147,113,76.87,21,True
Flickerwisp,56,43,76.79,8,True
Screaming Nemesis,168,126,75.0,24,True
Death-Greeter's Champion,147,110,74.83,21,True
"Elspeth, Storm Slayer",154,115,74.68,22,True
Thraben Inspector,98,73,74.49,14,True
Sanguine Evangelist,98,73,74.49,14,True
Luminarch Aspirant,140,104,74.29,20,True
Overlord of the Mistmoors,70,52,74.29,10,True
Lion Sash,35,26,74.29,5,True
Ocelot Pride,196,144,73.47,28,True
"Ajani, Nacatl Pariah",217,159,73.27,31,True
Parallax Wave,189,138,73.02,27,True
Fireblast,63,46,73.02,9,True
"Magda, Brazen Outlaw",140,102,72.86,20,True
Mother of Runes,175,127,72.57,25,True
Giver of Runes,147,106,72.11,21,True
Pyrogoyf,168,121,72.02,24,True
Guide of Souls,196,141,71.94,28,True
Elite Spellbinder,154,110,71.43,22,True
Figure of Destiny,119,85,71.43,17,True
Robber of the Rich,154,110,71.43,22,True
Sage of the Skies,84,60,71.43,12,True
Territorial Kavu,49,35,71.43,7,True
Glimmer Lens,91,65,71.43,13,True
Makdee and Itla,70,50,71.43,10,True
Skysnarers,70,50,71.43,10,True
Blazing Rootwalla,35,25,71.43,5,True
"Michelangelo, Weirdness to 11",14,10,71.43,2,True
"Laelia, the Blade Reforged",231,164,71.0,33,True
Fear of Missing Out,196,139,70.92,28,True
Generous Plunderer,147,104,70.75,21,True
"Otharri, Suns' Glory",119,84,70.59,17,True
"Phelia, Exuberant Shepherd",224,158,70.54,32,True
Palace Jailer,203,143,70.44,29,True
Abandoned Air Temple,182,128,70.33,26,True
Sacred Foundry,175,122,69.71,25,True
Jacked Rabbit,175,122,69.71,25,True
Stoneforge Mystic,133,92,69.17,19,True
Umezawa's Jitte,147,101,68.71,21,True
Swords to Plowshares,210,144,68.57,30,True
Esika's Chariot,126,86,68.25,18,True
Sentinel of the Nameless City,154,105,68.18,22,True
Karakas,203,138,67.98,29,True
Enduring Innocence,84,57,67.86,12,True
Forth Eorlingas!,161,109,67.7,23,True
Arena of Glory,196,132,67.35,28,True
"Chandra, Torch of Defiance",147,99,67.35,21,True
Staff of the Storyteller,98,66,67.35,14,True
"Gut, True Soul Zealot",189,127,67.2,27,True
Plateau,189,127,67.2,27,True
Voice of Victory,161,108,67.08,23,True
Council's Judgment,133,89,66.92,19,True
Bonecrusher Giant,175,117,66.86,25,True
Caustic Bronco,126,84,66.67,18,True
Vindicate,63,42,66.67,9,True
Brightglass Gearhulk,21,14,66.67,3,True
Lurrus of the Dream-Den,112,74,66.07,16,True
Containment Priest,147,97,65.99,21,True
Headliner Scarlett,210,138,65.71,30,True
Path to Exile,210,138,65.71,30,True
Serra Paragon,35,23,65.71,5,True
Mana Tithe,70,46,65.71,10,True
Faerie Mastermind,154,101,65.58,22,True
Broadside Bombardiers,203,133,65.52,29,True
Anje's Ravager,49,32,65.31,7,True
"Wan Shi Tong, All-Knowing",63,41,65.08,9,True
"Gau, Feral Youth",140,91,65.0,20,True
"Minsc & Boo, Timeless Heroes",217,141,64.98,31,True
"Phlage, Titan of Fire's Fury",182,118,64.84,26,True
Smuggler's Copter,105,68,64.76,15,True
Burst Lightning,133,86,64.66,19,True
Elvish Mystic,175,113,64.57,25,True
Galvanic Discharge,203,131,64.53,29,True
Questing Beast,182,117,64.29,26,True
Carnage Interpreter,70,45,64.29,10,True
Detective's Phoenix,98,63,64.29,14,True
Witherbloom Apprentice,56,36,64.29,8,True
Firebolt,98,63,64.29,14,True
"Appa, Steadfast Guardian",14,9,64.29,2,True
Fiery Confluence,217,139,64.06,31,True
Tersa Lightshatter,175,112,64.0,25,True
Cathar Commando,119,76,63.87,17,True
Sylvan Safekeeper,105,67,63.81,15,True
Skyclave Apparition,168,107,63.69,24,True
Witch Enchanter,77,49,63.64,11,True
Fable of the Mirror-Breaker,189,120,63.49,27,True
Solitude,252,160,63.49,36,True
Winds of Abandon,63,40,63.49,9,True
Formidable Speaker,175,111,63.43,25,True
"Inti, Seneschal of the Sun",175,110,62.86,25,True
Marauding Mako,70,44,62.86,10,True
Damn,35,22,62.86,5,True
Hexdrinker,196,123,62.76,28,True
Abrade,161,101,62.73,23,True
Chain Lightning,217,136,62.67,31,True
Scrubland,112,70,62.5,16,True
Reprieve,210,131,62.38,30,True
Pest Infestation,175,109,62.29,25,True
Sear,140,87,62.14,20,True
Tarfire,84,52,61.9,12,True
Master of Death,21,13,61.9,3,True
Tidehollow Sculler,42,26,61.9,6,True
Figure of Fable,42,26,61.9,6,True
Lingering Souls,91,56,61.54,13,True
Orcish Lumberjack,70,43,61.43,10,True
Delayed Blast Fireball,70,43,61.43,10,True
Securitron Squadron,70,43,61.43,10,True
Gaea's Cradle,196,120,61.22,28,True
Eagles of the North,77,47,61.04,11,True
"Nadu, Winged Wisdom",210,128,60.95,30,True
Lightning Bolt,210,128,60.95,30,True
Jennifer Walters,56,34,60.71,8,True
Vengevine,28,17,60.71,4,True
Elegant Parlor,203,123,60.59,29,True
"Nissa, Who Shakes the World",119,72,60.5,17,True
The Wandering Emperor,154,93,60.39,22,True
Tireless Tracker,196,118,60.2,28,True
Inspiring Vantage,168,101,60.12,24,True
Sylvan Caryatid,168,101,60.12,24,True
Jetmir's Garden,175,105,60.0,25,True
Survival of the Fittest,70,42,60.0,10,True
Ephemerate,35,21,60.0,5,True
The Legend of Roku,35,21,60.0,5,True
Ignoble Hierarch,217,130,59.91,31,True
Vibrance,77,46,59.74,11,True
"Oko, Thief of Crowns",196,117,59.69,28,True
Flame Slash,210,125,59.52,30,True
Concealed Courtyard,126,75,59.52,18,True
Icetill Explorer,175,104,59.43,25,True
Seasoned Pyromancer,189,112,59.26,27,True
Natural Order,147,87,59.18,21,True
Fatal Push,196,116,59.18,28,True
Sunbaked Canyon,147,87,59.18,21,True
"Tamiyo, Collector of Tales",98,58,59.18,14,True
Fanatic of Rhonas,203,120,59.11,29,True
Delighted Halfling,210,124,59.05,30,True
Scythecat Cub,217,128,58.99,31,True
Avacyn's Pilgrim,112,66,58.93,16,True
Bloodbraid Challenger,112,66,58.93,16,True
Alpha Deathclaw,56,33,58.93,8,True
Bloodchief's Thirst,119,70,58.82,17,True
Badgermole Cub,189,111,58.73,27,True
Llanowar Elves,189,111,58.73,27,True
Noble Hierarch,196,115,58.67,28,True
Unholy Heat,154,90,58.44,22,True
"Ragavan, Nimble Pilferer",231,135,58.44,33,True
Ouroboroid,182,106,58.24,26,True
Birds of Paradise,189,110,58.2,27,True
Hexing Squelcher,98,57,58.16,14,True
Green Sun's Zenith,231,134,58.01,33,True
Lush Portico,133,77,57.89,19,True
Seachrome Coast,175,101,57.71,25,True
"Boseiju, Who Endures",203,116,57.14,29,True
Dark Confidant,126,72,57.14,18,True
Moonshadow,91,52,57.14,13,True
Get Lost,112,64,57.14,16,True
Razorverge Thicket,112,64,57.14,16,True
"Ivora, Insatiable Heir",154,88,57.14,22,True
Horizon Canopy,126,72,57.14,18,True
Prismatic Ending,119,68,57.14,17,True
Savai Triome,238,136,57.14,34,True
Leyline Binding,35,20,57.14,5,True
Ledger Shredder,168,96,57.14,24,True
Ursine Monstrosity,98,56,57.14,14,True
Loran of the Third Path,126,72,57.14,18,True
Goblin Bombardment,21,12,57.14,3,True
"Arwen, Mortal Queen",21,12,57.14,3,True
Sandstorm Salvager,98,56,57.14,14,True
Basking Rootwalla,7,4,57.14,1,False
Phantasmal Image,14,8,57.14,2,True
Desecrex,7,4,57.14,1,False
Gift of Servitude,7,4,57.14,1,False
Taiga,217,123,56.68,31,True
"Sheoldred, the Apocalypse",217,123,56.68,31,True
Springheart Nantuko,161,91,56.52,23,True
Oust,161,91,56.52,23,True
Temple Garden,119,67,56.3,17,True
"Grist, the Hunger Tide",119,67,56.3,17,True
Arid Mesa,217,122,56.22,31,True
Dauthi Voidwalker,175,98,56.0,25,True
Generous Ent,175,98,56.0,25,True
Windswept Heath,259,145,55.98,37,True
Channel,84,47,55.95,12,True
Quantum Riddler,238,133,55.88,34,True
Wrath of God,77,43,55.84,11,True
Mox Ruby,224,125,55.8,32,True
Mox Pearl,224,125,55.8,32,True
Indatha Triome,210,117,55.71,30,True
"Bristly Bill, Spine Sower",203,113,55.67,29,True
Wastewood Verge,133,74,55.64,19,True
Strip Mine,196,109,55.61,28,True
No More Lies,182,101,55.49,26,True
Bleachbone Verge,119,66,55.46,17,True
Hallowed Fountain,231,128,55.41,33,True
Suplex,112,62,55.36,16,True
"Yavimaya, Cradle of Growth",168,93,55.36,24,True
Oliphaunt,161,89,55.28,23,True
"Malcolm, Alluring Scoundrel",161,89,55.28,23,True
Godless Shrine,105,58,55.24,15,True
"Teferi, Time Raveler",203,112,55.17,29,True
Batroc the Leaper,98,54,55.1,14,True
Tropical Island,245,135,55.1,35,True
Deep-Cavern Bat,189,104,55.03,27,True
"Torsten, Founder of Benalia",84,46,54.76,12,True
Fury,210,115,54.76,30,True
Tishana's Tidebinder,161,88,54.66,23,True
Endurance,119,65,54.62,17,True
"Kaito, Bane of Nightmares",119,65,54.62,17,True
Wistfulness,77,42,54.55,11,True
Reanimate,182,99,54.4,26,True
"Teferi, Hero of Dominaria",182,99,54.4,26,True
Prismatic Vista,217,118,54.38,31,True
Mox Emerald,252,137,54.37,36,True
Concealing Curtains,105,57,54.29,15,True
Wooded Foothills,266,144,54.14,38,True
Fractured Identity,231,125,54.11,33,True
Satyr Wayfinder,63,34,53.97,9,True
"Wan Shi Tong, Librarian",189,102,53.97,27,True
Force of Vigor,91,49,53.85,13,True
Skullclamp,175,94,53.71,25,True
"Titania, Protector of Argoth",196,105,53.57,28,True
Cut Down,168,90,53.57,24,True
Wrenn and Six,140,75,53.57,20,True
Cori-Steel Cutter,196,105,53.57,28,True
Mine Collapse,56,30,53.57,8,True
Nethergoyf,161,86,53.42,23,True
Raugrin Triome,182,97,53.3,26,True
"Uro, Titan of Nature's Wrath",182,97,53.3,26,True
Malevolent Rumble,147,78,53.06,21,True
Voldaren Epicure,98,52,53.06,14,True
Commercial District,196,104,53.06,28,True
Hedge Maze,217,115,53.0,31,True
Fallen Shinobi,119,63,52.94,17,True
Savannah,112,59,52.68,16,True
Eternal Witness,133,70,52.63,19,True
Hymn to Tourach,175,92,52.57,25,True
Astrologian's Planisphere,217,114,52.53,31,True
"Black Widow, Super Spy",84,44,52.38,12,True
Tear Asunder,42,22,52.38,6,True
Keen-Eyed Curator,42,22,52.38,6,True
Waterlogged Grove,182,95,52.2,26,True
Woodfall Primus,119,62,52.1,17,True
Spara's Headquarters,238,124,52.1,34,True
Overgrown Tomb,196,102,52.04,28,True
Breeding Pool,210,109,51.9,30,True
Pyrokinesis,133,69,51.88,19,True
Dragon's Rage Channeler,168,87,51.79,24,True
Ancestral Recall,203,105,51.72,29,True
Inquisition of Kozilek,182,94,51.65,26,True
"Tamiyo, Inquisitive Student",252,130,51.59,36,True
Once Upon a Time,196,101,51.53,28,True
Marsh Flats,231,119,51.52,33,True
Raffine's Tower,231,119,51.52,33,True
Super Shredder,35,18,51.43,5,True
Thornspire Verge,189,97,51.32,27,True
Creeping Tar Pit,189,97,51.32,27,True
Orcish Bowmasters,203,104,51.23,29,True
Sunfall,98,50,51.02,14,True
"Aang, Swift Savior",112,57,50.89,16,True
Underground Mortuary,175,89,50.86,25,True
Barrowgoyf,175,89,50.86,25,True
Meticulous Archive,175,89,50.86,25,True
Verdant Catacombs,238,121,50.84,34,True
Lose Focus,189,96,50.79,27,True
