"Draft","Seat","Colors","Archetype","Themes","Creatures","Noncreatures","Lands","Avg MV","Mainboard","Sideboard"
"1","1","White","W Weenie","Enchantments, Humans","10","13","17","3.04","Elspeth, Sun's Champion, Student of Warfare, Umezawa's Jitte, Angel of Invention, Journey to Nowhere, Wrath of God, Stoneforge Mystic, Spectral Procession, Monastery Mentor, Gideon, Ally of Zendikar, Wall of Omens, Inkmoth Nexus, Selfless Spirit, Knight of the White Orchid, Elesh Norn, Grand Cenobite, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Oblivion Ring, Isamaru, Hound of Konda, Day of Judgment, Glorious Anthem, Kytheon, Hero of Akros, Elspeth, Knight-Errant, Honor of the Pure, Legion's Landing, Spear of Heliod","Everflowing Chalice, Qasali Pridemage, Judge's Familiar, Sword of Fire and Ice, Phyrexian Metamorph, Krosan Grip, Irrigated Farmland, Yavimaya Coast, Knight of the Holy Nimbus, Archangel of Thune, Tidehollow Sculler, Kitchen Finks, Mishra's Bauble, Disenchant, Secure the Wastes, Lightning Greaves, Sword of Feast and Famine, Sheltered Thicket, Loxodon Warhammer, Oust, Shelldock Isle"
"1","2","Red/Blue","RU Spellslinger","Spells, Wizards","5","18","17","2.39","Cruel Ultimatum, Lotus Bloom, Chart a Course, Electrolyze, Shivan Reef, Gitaxian Probe, Ratchet Bomb, Snapcaster Mage, Chromatic Sphere, Smoldering Marsh, Faithless Looting, Lightning Bolt, Jace, Vryn's Prodigy, Blackcleave Cliffs, Glen Elendra Archmage, Sulfur Falls, Temple of Epiphany, Drowned Catacomb, Flame Slash, Izzet Charm, Mountain, Mountain, Searing Spear, Preordain, Island, Island, Island, Island, Island, Island, Island, Island, Mana Leak, Looter il-Kor, Scalding Tarn, Jace Beleren, Pyroclasm, Talrand, Sky Summoner, Search for Azcanta, Dig Through Time","Cryptbreaker, Temur Charm, Kolaghan's Command, Terminate, Zurgo Helmsmasher, Thopter Foundry, Celestial Crusader, Street Wraith, Through the Breach, The Scarab God, Dreadbore, Cinder Glade, Quicksilver Amulet, Reciprocate, Dismember"
"1","3","Red/Blue","RU Spellslinger","Spells, Humans","8","15","17","1.96","Soul-Scar Mage, Bedlam Reveler, Sleight of Hand, Steam Vents, Stormchaser Mage, Censor, Serum Visions, Young Pyromancer, Battlefield Forge, Opt, Lightning Axe, Unsummon, Dead // Gone, Botanical Sanctum, Manamorphose, Bloodwater Entity, Ancestral Vision, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Remove Soul, Island, Island, Island, Island, Island, Figure of Destiny, Cyclonic Rift, Clifftop Retreat, Incinerate, Monastery Swiftspear, Char, Spirebluff Canal, Devil's Play, Arc Trail, Thing in the Ice","Aurelia, the Warleader, Ingot Chewer, Sphinx of the Steel Wind, Scavenging Ooze, Bloodbraid Elf, Geist of Saint Traft, Tezzeret the Seeker, Aether Spellbomb, Walking Ballista, Skysovereign, Consul Flagship, Huntmaster of the Fells, Savannah Lions, Kari Zev, Skyship Raider, Kiki-Jiki, Mirror Breaker, Hellspark Elemental, Phantasmal Image, Talisman of Impulse"
"1","4","Red","R Burn","Artifacts","12","11","17","2.35","Chandra, Torch of Defiance, Canyon Slough, Sword of the Meek, Goblin Rabblemaster, Pyrite Spellbomb, Myr Enforcer, Blood Crypt, Sacred Foundry, Zurgo Bellstriker, Goblin Guide, Arcbound Ravager, Vault Skirge, Wooded Foothills, Porcelain Legionnaire, Temple of Triumph, Etched Champion, Mogg Fanatic, Pia and Kiran Nalaar, Steel Overseer, Earthquake, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Shock, Springleaf Drum, Batterskull, Galvanic Blast, Shrapnel Blast, Mox Opal, Trash for Treasure, Temple of Silence, Hellrider","Utopia Sprawl, Talisman of Progress, Abbot of Keral Keep, Terramorphic Expanse, Talisman of Indulgence, Zealous Conscripts, Rift Bolt, Hazoret the Fervent, Grim Lavamancer, Simian Spirit Guide, Chord of Calling, Chandra, Fire of Kaladesh, Ball Lightning, Incendiary Flow, Crystal Shard, Tarfire"
"1","5","Black/Green","BG Graveyard","Elves, Creatures","19","4","17","3.52","Reclamation Sage, Green Sun's Zenith, Thragtusk, Elves of Deep Shadow, Grim Flayer, Acidic Slime, Deathrite Shaman, Plow Under, Eternal Witness, Llanowar Wastes, Fauna Shaman, Hornet Queen, Courser of Kruphix, Woodland Bellower, Blooming Marsh, Verdant Catacombs, Llanowar Elves, Shriekmaw, Summoner's Pact, Elvish Piper, Carnage Tyrant, Craterhoof Behemoth, Overgrown Tomb, Joraga Treespeaker, Primeval Titan, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Temple of Malady, Sakura-Tribe Elder, Dryad Arbor, Birthing Pod","Talara's Battalion, Abrupt Decay, Verdurous Gearhulk, Inquisition of Kozilek, Smuggler's Copter, Rakdos's Return, Phyrexian Revoker, Razorverge Thicket, Maelstrom Pulse, Rancor, Ornithopter, Lodestone Golem, Ulamog, the Infinite Gyre, Naturalize, Dragonlord Atarka, Chromatic Star"
"1","6","Black/Blue","BU Tempo","Spells","9","14","17","3.78","Hero's Downfall, Vendilion Clique, Mulldrifter, Creeping Tar Pit, Dissolve, Fetid Pools, Negate, Frost Titan, Swamp, Swamp, Swamp, Swamp, Commit // Memory, Doom Blade, Disfigure, Jace, the Mind Sculptor, Tasigur, the Golden Fang, Kitesail Freebooter, Cryptic Command, Torrential Gearhulk, Evolving Wilds, Riftwing Cloudskate, Island, Island, Island, Island, Island, Island, Island, Logic Knot, Ashiok, Nightmare Weaver, Hostage Taker, Sunken Hollow, Spell Pierce, Remand, Ultimate Price, Time Warp, Polluted Delta, Grave Titan, Watery Grave","Coalition Relic, Diabolic Tutor, Mystic Snake, Mind Shatter, Settle the Wreckage, Caves of Koilos, Icy Manipulator, Knight of the Reliquary, Deceiver Exarch, Ashen Rider, Dragonskull Summit, Skullclamp, Boon Satyr, Inkwell Leviathan, Delver of Secrets, Desecration Demon"
"1","7","Green/Blue/White","GUW Blink","Humans, Creatures","16","7","17","2.61","Solemn Simulacrum, Glacial Fortress, Avacyn's Pilgrim, Misty Rainforest, Kiora, Master of the Depths, Venser, Shaper Savant, Spell Queller, Blade Splicer, Breeding Pool, Horizon Canopy, Windswept Heath, Condemn, Wall of Roots, Scattered Groves, Farseek, Prairie Stream, Sower of Temptation, Pacifism, Coiling Oracle, Renegade Rallier, Celestial Colonnade, Whisperwood Elemental, Mana Tithe, Noble Hierarch, Flickerwisp, Sun Titan, Forest, Treetop Village, Plains, Arid Mesa, Thraben Inspector, Mana Confluence, Birds of Paradise, Path to Exile, Tireless Tracker, Hallowed Fountain, City of Brass, Banishing Light, Temple Garden, Hinterland Harbor","Thrun, the Last Troll, Biomass Mutation, Cranial Plating, Isolated Chapel, Skinrender, Master of the Wild Hunt, Siege Rhino"
"1","8","Black","B Midrange","Phyrexians","12","11","17","3.61","Liliana of the Veil, Twisted Abomination, Fatal Push, Dread Return, Goryo's Vengeance, Phyrexian Obliterator, Oona's Prowler, Whip of Erebos, Pack Rat, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Liliana, the Last Hope, Gatekeeper of Malakir, Ravenous Chupacabra, Night's Whisper, Sheoldred, Whispering One, Massacre Wurm, Crypt Ghast, Noxious Gearhulk, Zombify, Wurmcoil Engine, Damnation, Kalitas, Traitor of Ghet, Thoughtseize, Bitterblossom","Leatherback Baloth, Sensei's Divining Top, Master of Etherium, Concealed Courtyard, Blackmail, Hedron Archive, Brain Maggot, Murmuring Bosk, Tarmogoyf, Vendetta, Chromatic Lantern, Godless Shrine, Lightning Helix, Mikaeus, the Lunarch, Myr Battlesphere, Commune with Nature, Blightsteel Colossus, Bloodghast, Phyrexian Arena, Scarecrone, Vampire Hexmage, Vedalken Shackles"
"2","1","Green/White","GW Counters","Green/White","13","10","17","2.91","Utopia Sprawl, Elspeth, Sun's Champion, Qasali Pridemage, Horizon Canopy, Angel of Invention, Crib Swap, Journey to Nowhere, Verdurous Gearhulk, Knight of the Reliquary, Scattered Groves, Courser of Kruphix, Brimaz, King of Oreskos, Gideon, Ally of Zendikar, Kitchen Finks, Rhonas the Indomitable, Pacifism, Razorverge Thicket, Noble Hierarch, Banisher Priest, Flickerwisp, Forest, Forest, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Batterskull, Birds of Paradise, Path to Exile, Tireless Tracker, Dryad Arbor, Elspeth, Knight-Errant, Oust, Temple Garden","Lingering Souls, Eldritch Evolution, Diabolic Tutor, Dark Confidant, Acidic Slime, Spectral Procession, Gatekeeper of Malakir, Zurgo Helmsmasher, Harmonize, Raging Ravine, Whisperwood Elemental, Adanto Vanguard, Boon Satyr, Ghalta, Primal Hunger, Mana Confluence, Kessig Prowler, Glorious Anthem"
"2","2","Red/Blue","RU Spellslinger","Spells, Humans","8","15","17","2.43","Sleight of Hand, Misty Rainforest, Shivan Reef, Gitaxian Probe, Zealous Conscripts, Rift Bolt, Negate, Grim Lavamancer, Censor, Faithless Looting, Lightning Bolt, Jace, Vryn's Prodigy, Young Pyromancer, Sulfur Falls, Jace, the Mind Sculptor, Incendiary Flow, Izzet Charm, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Preordain, Riftwing Cloudskate, Remove Soul, Island, Island, Island, Island, Island, Glorybringer, Jace Beleren, Monastery Swiftspear, Time Warp, Char, Spirebluff Canal, Thing in the Ice, Shelldock Isle","Cruel Ultimatum, Kiora, Master of the Depths, Plow Under, Blackmail, Blood Crypt, Huntmaster of the Fells, Terminate, Chandra, Fire of Kaladesh, Dark Petition, Disallow, Maelstrom Pulse, Earthquake, Celestial Crusader, Hostage Taker, Dreadbore, Cinder Glade, Hinterland Harbor"
"2","3","Red/White","RW Weenie","Artifacts, Humans","15","8","17","1.91","Student of Warfare, Aurelia, the Warleader, Umezawa's Jitte, Sword of Fire and Ice, Stoneforge Mystic, Condemn, Monastery Mentor, Inspiring Vantage, Sacred Foundry, Hero of Bladehold, Walking Ballista, Savannah Lions, Wooded Foothills, Battlefield Forge, Temple of Triumph, Selfless Spirit, Phyrexian Revoker, Knight of the White Orchid, Lightning Helix, Mikaeus, the Lunarch, Thalia, Guardian of Thraben, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Figure of Destiny, Isamaru, Hound of Konda, Clifftop Retreat, Steelshaper's Gift, Loxodon Warhammer, Kytheon, Hero of Akros, Honor of the Pure, Legion's Landing","Wrath of God, Archangel of Thune, Dragonskull Summit, Chord of Calling, Isolated Chapel, Pia and Kiran Nalaar, Dead // Gone, Rootbound Crag, Elesh Norn, Grand Cenobite, Steel Overseer, Sun Titan, Naturalize, Shrapnel Blast, Canopy Vista, Tarfire, Kird Ape"
