card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Celestial Crusader,98,77,78.57,14,True
Hidden Dragonslayer,49,37,75.51,7,True
Spectral Procession,133,100,75.19,19,True
"Elesh Norn, Grand Cenobite",56,42,75.0,8,True
Gideon's Lawkeeper,189,140,74.07,27,True
Archangel of Thune,119,88,73.95,17,True
Glorious Anthem,161,119,73.91,23,True
Knight of the White Orchid,203,150,73.89,29,True
Honor of the Pure,140,103,73.57,20,True
Hero of Bladehold,217,158,72.81,31,True
"Isamaru, Hound of Konda",217,157,72.35,31,True
"Brimaz, King of Oreskos",217,157,72.35,31,True
Banisher Priest,161,116,72.05,23,True
Selfless Spirit,224,161,71.88,32,True
"Kytheon, Hero of Akros",189,135,71.43,27,True
Legion's Landing,196,139,70.92,28,True
Vampire Nighthawk,168,119,70.83,24,True
"Thalia, Guardian of Thraben",217,153,70.51,31,True
Flickerwisp,175,123,70.29,25,True
Student of Warfare,140,98,70.0,20,True
Knight of the Holy Nimbus,140,98,70.0,20,True
"Mikaeus, the Lunarch",154,107,69.48,22,True
"Gideon, Ally of Zendikar",224,155,69.2,32,True
Huntmaster of the Fells,70,48,68.57,10,True
Stoneforge Mystic,238,163,68.49,34,True
Angel of Invention,203,139,68.47,29,True
"Kalitas, Traitor of Ghet",196,134,68.37,28,True
Seeker of the Way,70,47,67.14,10,True
Savannah Lions,182,121,66.48,26,True
Fatal Push,217,144,66.36,31,True
Lightning Helix,98,65,66.33,14,True
"Elspeth, Knight-Errant",231,153,66.23,33,True
Kitesail Freebooter,210,138,65.71,30,True
Bloodbraid Elf,70,46,65.71,10,True
Adanto Vanguard,154,101,65.58,22,True
Skinrender,238,156,65.55,34,True
Figure of Destiny,217,142,65.44,31,True
Leonin Relic-Warder,140,91,65.0,20,True
Banishing Light,168,108,64.29,24,True
Hero of Oxid Ridge,112,72,64.29,16,True
"Kari Zev, Skyship Raider",147,94,63.95,21,True
Spear of Heliod,133,85,63.91,19,True
Disfigure,224,143,63.84,32,True
Siege-Gang Commander,105,67,63.81,15,True
Ravenous Chupacabra,273,174,63.74,39,True
Oust,154,98,63.64,22,True
"Elspeth, Sun's Champion",210,133,63.33,30,True
Hazoret the Fervent,98,62,63.27,14,True
"Chandra, Fire of Kaladesh",84,53,63.1,12,True
Crypt Ghast,119,75,63.03,17,True
Mogg Fanatic,140,88,62.86,20,True
Steelshaper's Gift,91,57,62.64,13,True
Stomping Ground,91,57,62.64,13,True
Lingering Souls,91,57,62.64,13,True
Pacifism,203,127,62.56,29,True
Doom Blade,224,140,62.5,32,True
Zurgo Bellstriker,133,83,62.41,19,True
Dark Confidant,217,135,62.21,31,True
Hypnotic Specter,119,74,62.18,17,True
Sacred Foundry,161,100,62.11,23,True
Blade Splicer,231,143,61.9,33,True
Simian Spirit Guide,63,39,61.9,9,True
Dragonlord Atarka,42,26,61.9,6,True
Goblin Guide,175,108,61.71,25,True
Desecration Demon,154,95,61.69,22,True
"Liliana, the Last Hope",245,151,61.63,35,True
Hellrider,112,69,61.61,16,True
Umezawa's Jitte,252,155,61.51,36,True
Oblivion Ring,126,77,61.11,18,True
Path to Exile,280,171,61.07,40,True
Night's Whisper,238,145,60.92,34,True
Brain Maggot,133,81,60.9,19,True
"Thrun, the Last Troll",161,98,60.87,23,True
Massacre Wurm,196,119,60.71,28,True
"Aurelia, the Warleader",28,17,60.71,4,True
Shriekmaw,266,161,60.53,38,True
Ultimate Price,273,165,60.44,39,True
Sheltered Thicket,91,55,60.44,13,True
Canyon Slough,154,93,60.39,22,True
Inspiring Vantage,126,76,60.32,18,True
Secure the Wastes,133,80,60.15,19,True
Grim Flayer,140,84,60.0,20,True
Grave Titan,175,105,60.0,25,True
Blood Crypt,175,105,60.0,25,True
Ball Lightning,70,42,60.0,10,True
"Liliana, Death's Majesty",238,142,59.66,34,True
Caves of Koilos,119,71,59.66,17,True
Thraben Inspector,245,146,59.59,35,True
Bitterblossom,210,125,59.52,30,True
Grim Lavamancer,168,100,59.52,24,True
Go for the Throat,231,137,59.31,33,True
Murderous Cut,196,116,59.18,28,True
Temple of Malady,168,99,58.93,24,True
Hellspark Elemental,112,66,58.93,16,True
Boon Satyr,56,33,58.93,8,True
Archangel Avacyn,133,78,58.65,19,True
Goblin Rabblemaster,210,123,58.57,30,True
Terminate,140,82,58.57,20,True
Bloodghast,154,90,58.44,22,True
Monastery Mentor,238,139,58.4,34,True
Inquisition of Kozilek,238,139,58.4,34,True
Journey to Nowhere,217,126,58.06,31,True
Elves of Deep Shadow,245,142,57.96,35,True
Blackmail,126,73,57.94,18,True
Dismember,203,117,57.64,29,True
"Ashiok, Nightmare Weaver",224,129,57.59,32,True
Birds of Paradise,259,149,57.53,37,True
Phyrexian Obliterator,140,80,57.14,20,True
