"Draft","Seat","Colors","Archetype","Themes","Creatures","Noncreatures","Lands","Avg MV","Mainboard","Sideboard"
"1","1","Black/White","BW Midrange","Zombies","15","8","17","2.17","Retrofitted Transmogrant, Clawing Torment, Gixian Infiltrator, Putrid Goblin, Go for the Throat, Snuff Out, Cradle of the Accursed, Falkenrath Noble, Vendetta, Okiba Reckoner Raid, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Guildsworn Prowler, Vermin Gorger, Loathsome Curator, Undying Malice, Carrion Feeder, Doomed Traveler, Thorn of the Black Rose, Plains, Nested Shambler, Suture Priest, Wither and Bloom, Snarling Gorehound, Scoured Barrens, Accursed Marauder, First-Sphere Gargantua, Dog Umbra","Heliod's Pilgrim, Guardian of the Guildpact, Faith's Fetters, Journey to Nowhere, Gods Willing, Imperial Oath, Reckless Impulse, Wary Farmer, Suburban Sanctuary, Cathar Commando, Shattered Landscape, Ainok Bond-Kin, Alabaster Host Intercessor, Palace Sentinels, Malevolent Rumble, Pulse of Murasa, Leonin Bola, Gift of Orzhova, Okiba-Gang Shinobi, Fortress Kin-Guard"
"1","2","Red/White","RW Aggro","Humans","14","9","17","1.91","Faerie Guidemother, Conduit Goblin, Dog Walker, Homestead Courage, Tenth District Legionnaire, Blessed Hippogriff, Rally the Peasants, Bonesplitter, Planar Disruption, Porcelain Legionnaire, Focus Fire, Thraben Charm, Greatsword of Tyr, Deftblade Elite, Mountain, Territorial Hammerskull, Tocasia's Dig Site, Ancestral Blade, Stormfront Pegasus, Gideon's Lawkeeper, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Novice Inspector, Abraded Bluffs, Thraben Inspector, Seeker of the Way, Battle Screech, Miner's Guidewing","Vulshok Morningstar, Raid Bombardment, Azorius Chancery, Savage Mansion, Mardu Skullhunter, Thriving Grubs, Reckless Charge, Ram Through, Night Market, Titan's Grave, Sheltering Landscape, Aether Chaser, Flame Slash, Barbed Batterfist, Jackal Pup, Fireball, Plasma Bolt, Dauntless Unity, Brambleback Brute, Scholar of Combustion"
"1","3","Black/Green","BG Graveyard","Black/Green","14","9","17","2.52","Utopia Sprawl, Champion of Dusan, Owlbear, Colossal Dreadmask, Putrid Leech, Golgari Rot Farm, Contagious Vorrac, Rubblebelt Maverick, Gurmag Angler, Elvish Mystic, Arbor Elf, Jewel Thief, Unearth, Expanding Ooze, Monstrous Emergence, Swamp, Swamp, Swamp, Swamp, Witherbloom Campus, Dreg Mangler, Disfigure, Ainok Wayfarer, Tithing Blade, Sprout Swarm, Candy Grapple, Rancor, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Voracious Varmint, Bannerhide Krushok","Gingerbrute, Pristine Talisman, Kingpin's Pet, Growth Spiral, Conduit Pylons, Underworld Charger, Wolf Cove Villager, You Hear Something on Watch, Ulamog's Crusher, Vault Skirge, Ominous Asylum, Candy Trail, Death Denied, Wrenn's Resolve, Foreboding Landscape, Mutagenic Growth, Dauthi Slayer, Diregraf Horde, Spellbook Seeker, Petrify"
"1","4","Green","G Counters","Creatures","17","6","17","3.22","Selesnya Sanctuary, Temperamental Oozewagg, Phantom Tiger, Abundant Harvest, Wall of Roots, Nyxborn Hydra, Llanowar Elves, Trumpeting Herd, Wild Growth, Sagu Wildling, Yavimaya Elder, Jade Guardian, Basking Broodscale, Annoyed Altisaur, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Generous Ent, Bushwhack, Conclave Naturalists, Fertile Ground, Blastoderm, Kyoshi Village, Captured by Lagacs, Bramble Wurm, Sakura-Tribe Elder, Sarulf's Packmate, Mother Bear","Faithful Watchdog, Branching Bolt, Snakeskin Veil, Riling Dawnbreaker, Teetering Peaks, Winding Way, Coiling Oracle, Hooting Mandrills, Raffine's Informant, Vines of Vastwood, Quandrix Pledgemage, University Campus, Carrier Thrall, You Meet in a Tavern, Urban Daggertooth, Tranquil Landscape, Unbounded Potential, Gnarlid Colony, Borrowed Grace, Goblin Anarchomancer"
"1","5","Blue","U Spellslinger","Spells, Wizards","11","12","17","3.17","Escape Tunnel, Ponder, Starbreach Whale, Peregrine Drake, Phantom Interference, Zephyr Winder, Desert, Mulldrifter, Meeting of Minds, Weakstone's Subjugation, Serum Visions, Deep Analysis, Treasure Cruise, Tranquil Cove, Lórien Revealed, Vizier of Tumbling Sands, Miscalculation, Serum Visionary, Condescend, Archaeomancer, Remove Soul, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Faerie Seer, Tolarian Terror, Into the Roil, Elite Interceptor, Shipwreck Dowser","Aerie Auxiliary, Prophetic Prism, Armadillo Cloak, Deceptive Landscape, Liliana's Specter, Troll of Khazad-dûm, Hickory Woodlot, Seething Landscape, Hidden Grotto, Flayer Husk, Savannah Lions, Resentful Revelation, Sinister Hideout, Cavern Harpy, Prismatic Strands, Momentary Blink, Dinrova Horror, Silver Drake, Warship Scout"
"1","6","Red","R Burn","Spells, Goblins","14","9","17","1.96","Gnawing Crescendo, Fireslinger, Improvised Club, Burning-Tree Emissary, Witty Roastmaster, Clockwork Percussionist, Bogardan Dragonheart, Frenzied Goblin, Wrangle, Goblin Surprise, Firebolt, Mogg War Marshal, Hissing Iguanar, Shock Brigade, Basilisk Gate, Grim Initiate, Underworld Rage-Hound, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Hordeling Outburst, Searing Spear, Burst Lightning, Sparksmith, Fanatical Firebrand, Goblin Motivator, Abrade","Crypt Rats, Contaminated Landscape, Bone Picker, Forum of Amity, Unwilling Ingredient, Doom Blade, Serrated Arrows, Boiling Rock Prison, Furnace Strider, Glimmerlight, Rolling Thunder, Rhox Veteran, Orzhov Basilica, Pinnacle Kill-Ship, Filigree Familiar, Body Dropper, Guttersnipe, Twisted Landscape, Vampire Lacerator, Serpent's Pass, Tragic Slip"
"1","7","Red/Blue","RU Spellslinger","Spells, Humans","8","15","17","2.09","Mocking Sprite, Hard Evidence, Cloudkin Seer, Izzet Boilerworks, Lose Focus, Ardent Elementalist, Brainstorm, Lightning Bolt, Consider, Opt, Chain Lightning, Bloodwater Entity, Izzet Charm, Mountain, Mountain, Mountain, Mountain, Preordain, Snap, Repeal, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Jhessian Thief, Skewer the Critics, Looter il-Kor, Brimstone Volley, Monastery Swiftspear, Murmuring Mystic, Galvanic Discharge, Quicksand, Sulfurous Blast","Simic Growth Chamber, Ephemerate, Oliphaunt, Lyev Skyknight, Settle Beyond Reality, Tuskeri Firewalker, Sunlance, Deluge Virtuoso, Wildfire Elemental, Pestermite, Search Party Captain, Goblin Bushwhacker, Syndic of Tithes, Bristling Backwoods, Ghostly Flicker, Preening Champion, Perilous Landscape, Eagles of the North, Militia Bugler, Mayhem Patrol"
"1","8","Black/Blue","BU Tempo","Spells","9","14","17","3.39","Cryogen Relic, Mist Raven, Gravedigger, Gitaxian Probe, Ninja of the Deep Hours, Displace, Dimir Aqueduct, Soul Manipulation, Faceless Butcher, Scurrilous Sentry, Swamp, Swamp, Swamp, Swamp, Striped Riverwinder, Capsize, Night's Whisper, Witness Protection, Stab Wound, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Eldrazi Skyspawner, Arms of Hadar, Mana Leak, Counterspell, Mirrorshell Crab, Cast Down, Sword Coast Serpent, Pestilence, Impulse","Dauthi Horror, Quandrix Campus, Judge's Familiar, Ecstatic Awakener, Firebrand Archer, Spectacle Summit, Gray Merchant of Asphodel, Cindering Cutthroat, Salt Road Packbeast, Tempest Angler, Bonder's Ornament, Blood Aspirant, Shardless Outlander, Krosan Tusker, Guardian Idol, Eroded Canyon, Werebear, Nest Invader, Blood Fountain, Seize Opportunity, Perilous Myr"
"2","1","Blue","U Spellslinger","Spells","9","14","17","2.91","Mocking Sprite, Hard Evidence, Phantom Interference, Mystic Sanctuary, Lose Focus, Judge's Familiar, Mulldrifter, Weakstone's Subjugation, Consider, Serum Visions, Treasure Cruise, Tranquil Cove, Lórien Revealed, Opt, Pestermite, Serum Visionary, Ghostly Flicker, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Jhessian Thief, Into the Roil, Mana Leak, Counterspell, Mirrorshell Crab, Shipwreck Dowser, Impulse, Young Blue Dragon","Rakdos Carnarium, Heliod's Pilgrim, Prophetic Prism, Contaminated Landscape, Mardu Skullhunter, Journey to Nowhere, Displace, Sunlance, Soltari Trooper, Resentful Revelation, Candy Trail, Guardian Idol, Experiment One, Bloodwater Entity, Carrion Feeder, Momentary Blink, Foreboding Landscape, Phantom Nomad, Elite Interceptor, Silver Drake"
"2","2","Black/Red","BR Aristocrats","Creatures","16","7","17","1.96","Gnawing Crescendo, Retrofitted Transmogrant, Dark-Dweller Oracle, Improvised Club, Ecstatic Awakener, Putrid Goblin, Bone Picker, Falkenrath Noble, Clockwork Percussionist, Bogardan Dragonheart, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Doom Blade, Boiling Rock Prison, Blood Aspirant, Hissing Iguanar, Rally at the Hornburg, Chain Lightning, Flame Slash, Grim Initiate, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Blightning, Carrier Thrall, Nested Shambler, Body Dropper, Snarling Gorehound, Scorched Rusalka","Fireslinger, Troll of Khazad-dûm, Settle Beyond Reality, Thriving Grubs, Forum of Amity, Grim Bauble, Wolf Cove Villager, Reckless Impulse, Aether Poisoner, Goblin Surprise, Loathsome Curator, Undying Malice, Searing Spear, Chitin Gravestalker, Sparksmith, Abraded Bluffs, Seize Opportunity, Plagued Rusalka, Pestilence, Brambleback Brute, Warship Scout"
