card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Gift of Orzhova,21,18,85.71,3,True
Thriving Grubs,7,6,85.71,1,False
Carnophage,35,25,71.43,5,True
Aether Poisoner,14,10,71.43,2,True
Wary Farmer,14,10,71.43,2,True
Tranquil Landscape,7,5,71.43,1,False
Perilous Myr,7,5,71.43,1,False
Dauntless Unity,7,5,71.43,1,False
Suture Priest,119,84,70.59,17,True
Stormfront Pegasus,133,92,69.17,19,True
Syndic of Tithes,77,53,68.83,11,True
Phantom Nomad,63,43,68.25,9,True
Aerie Auxiliary,203,138,67.98,29,True
Mandibular Kite,112,76,67.86,16,True
Riling Dawnbreaker,49,33,67.35,7,True
Unwilling Ingredient,91,61,67.03,13,True
Mana Tithe,126,84,66.67,18,True
Diregraf Horde,147,98,66.67,21,True
Triplicate Spirits,140,93,66.43,20,True
Gideon's Lawkeeper,98,65,66.33,14,True
Unbounded Potential,56,37,66.07,8,True
Territorial Hammerskull,35,23,65.71,5,True
Ancestral Blade,84,55,65.48,12,True
Ardenvale Tactician,133,87,65.41,19,True
Blessed Hippogriff,147,96,65.31,21,True
Faerie Guidemother,147,96,65.31,21,True
Palace Sentinels,210,137,65.24,30,True
Search Party Captain,112,73,65.18,16,True
Dauthi Slayer,105,68,64.76,15,True
Militia Bugler,203,131,64.53,29,True
Vines of Vastwood,84,54,64.29,12,True
Underworld Charger,42,27,64.29,6,True
Raven's Crime,112,72,64.29,16,True
Coalition Honor Guard,28,18,64.29,4,True
Armadillo Cloak,112,72,64.29,16,True
Ainok Bond-Kin,84,54,64.29,12,True
Iron Apprentice,14,9,64.29,2,True
Battle Screech,245,157,64.08,35,True
Liliana's Specter,245,157,64.08,35,True
Kor Skyfisher,238,152,63.87,34,True
Raffine's Informant,210,134,63.81,30,True
Salt Road Packbeast,168,107,63.69,24,True
Cathar Commando,154,98,63.64,22,True
Miner's Guidewing,140,89,63.57,20,True
Underworld Rage-Hound,126,80,63.49,18,True
Novice Inspector,245,155,63.27,35,True
Gray Merchant of Asphodel,231,146,63.2,33,True
Savannah Lions,133,84,63.16,19,True
Heliod's Pilgrim,84,53,63.1,12,True
Fortress Kin-Guard,119,75,63.03,17,True
Okiba Reckoner Raid,189,119,62.96,27,True
You Hear Something on Watch,70,44,62.86,10,True
Greatsword of Tyr,217,136,62.67,31,True
Thraben Charm,203,127,62.56,29,True
Guardian of the Guildpact,259,162,62.55,37,True
Abraded Bluffs,77,48,62.34,11,True
Rally the Peasants,77,48,62.34,11,True
Soltari Trooper,77,48,62.34,11,True
Trapped in the Screen,196,122,62.24,28,True
Retrofitted Transmogrant,231,143,61.9,33,True
Kyoshi Village,42,26,61.9,6,True
Homestead Courage,42,26,61.9,6,True
Captured by Lagacs,119,73,61.34,17,True
Snuff Out,245,150,61.22,35,True
Mire Triton,147,90,61.22,21,True
Tithing Blade,231,141,61.04,33,True
Pillory of the Sleepless,77,47,61.04,11,True
Tragic Slip,259,158,61.0,37,True
Journey to Nowhere,217,132,60.83,31,True
Branching Bolt,91,55,60.44,13,True
Witch's Cottage,217,131,60.37,31,True
Kingpin's Pet,63,38,60.32,9,True
Tortured Existence,196,118,60.2,28,True
Orzhov Basilica,98,59,60.2,14,True
Scurrilous Sentry,168,101,60.12,24,True
Rhox Veteran,105,63,60.0,15,True
Inspiring Paladin,35,21,60.0,5,True
Ashes to Ashes,182,109,59.89,26,True
Okiba-Gang Shinobi,147,88,59.86,21,True
Inspiring Overseer,259,155,59.85,37,True
Boros Garrison,77,46,59.74,11,True
Seeker of the Way,119,71,59.66,17,True
Guildsworn Prowler,168,100,59.52,24,True
Vampire Sovereign,210,125,59.52,30,True
Vampire Lacerator,84,50,59.52,12,True
Eldrazi Repurposer,259,154,59.46,37,True
River Boa,175,104,59.43,25,True
Planar Disruption,224,133,59.38,32,True
Snarling Gorehound,182,108,59.34,26,True
Selesnya Sanctuary,98,58,59.18,14,True
Unearth,280,165,58.93,40,True
Jewel Thief,231,136,58.87,33,True
Porcelain Legionnaire,210,123,58.57,30,True
Pestilence,217,127,58.53,31,True
Faith's Fetters,91,53,58.24,13,True
Thorn of the Black Rose,224,130,58.04,32,True
Elite Vanguard,112,65,58.04,16,True
Mayhem Patrol,140,81,57.86,20,True
Ecstatic Awakener,175,101,57.71,25,True
Blood Fountain,175,101,57.71,25,True
Thraben Inspector,210,121,57.62,30,True
Clawing Torment,14,8,57.14,2,True
Dog Walker,49,28,57.14,7,True
Grim Bauble,210,120,57.14,30,True
Suburban Sanctuary,70,40,57.14,10,True
Dread Return,161,92,57.14,23,True
Raise the Alarm,56,32,57.14,8,True
Imperial Oath,7,4,57.14,1,False
Flayer Husk,14,8,57.14,2,True
Seething Landscape,7,4,57.14,1,False
Bone Picker,231,131,56.71,33,True
Candy Grapple,210,119,56.67,30,True
Jackal Pup,210,119,56.67,30,True
Grim Initiate,196,111,56.63,28,True
Carrion Feeder,189,107,56.61,27,True
Dog Umbra,168,95,56.55,24,True
Colossal Dreadmask,252,142,56.35,36,True
Gixian Infiltrator,126,71,56.35,18,True
Nyxborn Hydra,252,142,56.35,36,True
Gravedigger,238,134,56.3,34,True
Goblin Bushwhacker,231,130,56.28,33,True
Faithful Watchdog,112,63,56.25,16,True
Shock Brigade,203,114,56.16,29,True
Vendetta,189,106,56.08,27,True
Raid Bombardment,217,121,55.76,31,True
Vault Skirge,70,39,55.71,10,True
Eagles of the North,140,78,55.71,20,True
Owlbear,259,144,55.6,37,True
Scoured Barrens,63,35,55.56,9,True
Conduit Goblin,63,35,55.56,9,True
Gnarlid Colony,126,70,55.56,18,True
Loathsome Curator,112,62,55.36,16,True
Nested Shambler,112,62,55.36,16,True
Basking Broodscale,224,124,55.36,32,True
Tenth District Legionnaire,56,31,55.36,8,True
Ram Through,168,93,55.36,24,True
Falkenrath Noble,210,116,55.24,30,True
Wither and Bloom,259,143,55.21,37,True
Deftblade Elite,49,27,55.1,7,True
Rancor,287,158,55.05,41,True
Bannerhide Krushok,238,131,55.04,34,True
Faceless Butcher,238,131,55.04,34,True
Oliphaunt,140,77,55.0,20,True
Accursed Marauder,273,150,54.95,39,True
Hordeling Outburst,266,146,54.89,38,True
Blastoderm,210,115,54.76,30,True
Gingerbrute,84,46,54.76,12,True
Frenzied Goblin,203,111,54.68,29,True
Petrify,154,84,54.55,22,True
Night's Whisper,224,122,54.46,32,True
Voracious Vermin,147,80,54.42,21,True
Phantom Tiger,182,99,54.4,26,True
Horrific Assault,182,99,54.4,26,True
Rally at the Hornburg,252,137,54.37,36,True
Expanding Ooze,35,19,54.29,5,True
Gnawing Crescendo,210,114,54.29,30,True
Evolution Witness,280,152,54.29,40,True
Witty Roastmaster,203,110,54.19,29,True
Mogg War Marshal,252,136,53.97,36,True
Prismatic Strands,63,34,53.97,9,True
Vermin Gorger,91,49,53.85,13,True
Wall of Roots,210,113,53.81,30,True
Settle Beyond Reality,147,79,53.74,21,True
Burning-Tree Emissary,175,94,53.71,25,True
Galvanic Discharge,224,120,53.57,32,True
Urban Daggertooth,84,45,53.57,12,True
Trumpeting Herd,189,101,53.44,27,True
Contagious Vorrac,266,142,53.38,38,True
Burst Lightning,266,142,53.38,38,True
Barbed Batterfist,105,56,53.33,15,True
Gurmag Angler,231,123,53.25,33,True
Beetleback Chief,203,108,53.2,29,True
Cast Down,252,134,53.17,36,True
Aether Chaser,175,93,53.14,25,True
Goblin Surprise,224,119,53.12,32,True
Village Rites,147,78,53.06,21,True
Lightning Bolt,266,141,53.01,38,True
Sarulf's Packmate,238,126,52.94,34,True
Troll of Khazad-dûm,231,122,52.81,33,True
Molten Gatekeeper,161,85,52.8,23,True
Sunlance,161,85,52.8,23,True
Bristling Backwoods,161,85,52.8,23,True
Dauthi Horror,112,59,52.68,16,True
Crypt Rats,245,129,52.65,35,True
Rimrock Knight,245,129,52.65,35,True
Bonesplitter,154,81,52.6,22,True
Conclave Naturalists,196,103,52.55,28,True
Entourage of Trest,217,114,52.53,31,True
Champion of Dusan,189,99,52.38,27,True
Clockwork Percussionist,252,132,52.38,36,True
Improvised Club,231,121,52.38,33,True
Fireblast,252,132,52.38,36,True
Foreboding Landscape,21,11,52.38,3,True
Ainok Wayfarer,161,84,52.17,23,True
Lyev Skyknight,119,62,52.1,17,True
First-Sphere Gargantua,196,102,52.04,28,True
Stab Wound,196,102,52.04,28,True
Sylvan Might,77,40,51.95,11,True
Oblivion Ring,133,69,51.88,19,True
Llanowar Visionary,245,127,51.84,35,True
Priest of Titania,280,145,51.79,40,True
Doom Blade,224,116,51.79,32,True
Tithe Drinker,56,29,51.79,8,True
Basilisk Gate,259,134,51.74,37,True
Alabaster Host Intercessor,91,47,51.65,13,True
Skewer the Critics,217,112,51.61,31,True
Reckless Charge,161,83,51.55,23,True
Experiment One,196,101,51.53,28,True
Elvish Mystic,266,137,51.5,38,True
Wildfire Elemental,105,54,51.43,15,True
Cradle of the Accursed,294,151,51.36,42,True
Monastery Swiftspear,273,140,51.28,39,True
Arbor Elf,203,104,51.23,29,True
Mutagenic Growth,84,43,51.19,12,True
Disfigure,217,111,51.15,31,True
Temperamental Oozewagg,182,93,51.1,26,True
Go for the Throat,280,143,51.07,40,True
Fanatical Firebrand,147,75,51.02,21,True
Snakeskin Veil,147,75,51.02,21,True
Scorched Rusalka,147,75,51.02,21,True
Wrenn's Resolve,210,107,50.95,30,True
Lightning Strike,273,139,50.92,39,True
Putrid Leech,63,32,50.79,9,True
Llanowar Elves,266,135,50.75,38,True
Putrid Goblin,168,85,50.6,24,True
Bushwhack,238,120,50.42,34,True
Bramble Wurm,189,95,50.26,27,True
Undying Malice,28,14,50.0,4,True
Desert,294,147,50.0,42,True
Focus Fire,28,14,50.0,4,True
Fireslinger,112,56,50.0,16,True
Sparksmith,154,77,50.0,22,True
Forum of Amity,28,14,50.0,4,True
Gods Willing,28,14,50.0,4,True
Searing Spear,231,115,49.78,33,True
Gruul Turf,217,108,49.77,31,True
Moon-Circuit Hacker,217,108,49.77,31,True
Abundant Harvest,133,66,49.62,19,True
Firebolt,266,132,49.62,38,True
Sprout Swarm,273,135,49.45,39,True
Quicksand,273,135,49.45,39,True
Silver Drake,91,45,49.45,13,True
Custodi Squire,91,45,49.45,13,True
Yavimaya Elder,259,128,49.42,37,True
Chitin Gravestalker,140,69,49.29,20,True
Hissing Iguanar,147,72,48.98,21,True
Mother Bear,182,89,48.9,26,True
Incinerate,266,130,48.87,38,True
Nest Invader,224,109,48.66,32,True
Seize Opportunity,70,34,48.57,10,True
Greater Tanuki,238,115,48.32,34,True
Chain Lightning,294,142,48.3,42,True
Haunted Fengraf,294,142,48.3,42,True
Tamiyo's Safekeeping,147,71,48.3,21,True
Ephemerate,203,98,48.28,29,True
Annoyed Altisaur,259,125,48.26,37,True
Wild Growth,259,125,48.26,37,True
Serrated Arrows,56,27,48.21,8,True
Judge's Familiar,189,91,48.15,27,True
Witherbloom Campus,77,37,48.05,11,True
Giant Growth,77,37,48.05,11,True
Carrier Thrall,98,47,47.96,14,True
Voracious Varmint,238,114,47.9,34,True
Goblin Anarchomancer,140,67,47.86,20,True
Momentary Blink,161,77,47.83,23,True
Resentful Revelation,182,87,47.8,26,True
Doomed Traveler,21,10,47.62,3,True
Rolling Thunder,147,70,47.62,21,True
Spelleater Wolverine,147,70,47.62,21,True
Teetering Peaks,189,90,47.62,27,True
Arms of Hadar,259,123,47.49,37,True
Brimstone Volley,217,103,47.47,31,True
Jade Guardian,154,73,47.4,22,True
Tranquil Cove,203,96,47.29,29,True
Scrapwork Mutt,70,33,47.14,10,True
Deep Analysis,308,145,47.08,44,True
Escape Tunnel,119,56,47.06,17,True
Tocasia's Dig Site,287,135,47.04,41,True
Fertile Ground,217,102,47.0,31,True
Malevolent Rumble,245,115,46.94,35,True
Sagu Wildling,252,118,46.83,36,True
Cindering Cutthroat,77,36,46.75,11,True
Utopia Sprawl,259,121,46.72,37,True
Bogardan Dragonheart,182,85,46.7,26,True
Remove Soul,273,127,46.52,39,True
Eldrazi Skyspawner,168,78,46.43,24,True
Dinrova Horror,168,78,46.43,24,True
Golgari Rot Farm,119,55,46.22,17,True
Sakura-Tribe Elder,238,110,46.22,34,True
Cavern Harpy,119,55,46.22,17,True
