card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Dauntless Scrapbot,7,6,85.71,1,False
Earthrumbler,14,11,78.57,2,True
Signal Pest,84,63,75.0,12,True
Spectral Procession,105,78,74.29,15,True
Mandibular Kite,77,56,72.73,11,True
"The Duke, Rebel Sentry",77,56,72.73,11,True
Archetype of Courage,91,65,71.43,13,True
Gary Clone,14,10,71.43,2,True
Untethered Express,7,5,71.43,1,False
The Last Ronin's Technique,21,15,71.43,3,True
Recruitment Officer,147,104,70.75,21,True
Coastline Marauders,49,34,69.39,7,True
Aerie Auxiliary,161,111,68.94,23,True
Splitskin Doll,182,125,68.68,26,True
Law-Rune Enforcer,70,48,68.57,10,True
Reprieve,189,129,68.25,27,True
Accorder Paladin,154,104,67.53,22,True
Overwhelming Encounter,21,14,66.67,3,True
Prava of the Steel Legion,84,56,66.67,12,True
Surgical Suite // Hospital Room,105,70,66.67,15,True
Militia Bugler,168,110,65.48,24,True
Elite Scaleguard,112,73,65.18,16,True
Scrapwork Mutt,112,73,65.18,16,True
Sontaran General,126,82,65.08,18,True
Shepherd of the Clouds,77,50,64.94,11,True
All-Fates Stalker,147,95,64.63,21,True
Grafted Wargear,189,122,64.55,27,True
Rally the Peasants,126,81,64.29,18,True
Requisition Raid,112,72,64.29,16,True
Porcelain Legionnaire,140,90,64.29,20,True
"Lita, Little Orphan Amphibian",98,63,64.29,14,True
Tolls of War,28,18,64.29,4,True
Sunhome Stalwart,147,94,63.95,21,True
Emergency Eject,105,67,63.81,15,True
Dawnbringer Cleric,126,80,63.49,18,True
Dragoon's Lance,112,71,63.39,16,True
"Anafenza, Kin-Tree Spirit",112,71,63.39,16,True
Fiend Hunter,196,124,63.27,28,True
Bonesplitter,133,84,63.16,19,True
Goblin Trenches,70,44,62.86,10,True
Inspiring Overseer,217,136,62.67,31,True
Cathar Commando,112,70,62.5,16,True
Loxodon Warhammer,56,35,62.5,8,True
"Momo, Playful Pet",119,74,62.18,17,True
Scurry Oak,105,65,61.9,15,True
Foreboding Landscape,21,13,61.9,3,True
Oketra's Monument,175,108,61.71,25,True
Kumano Faces Kakkazan,154,95,61.69,22,True
Rhox Veteran,70,43,61.43,10,True
Marionette Apprentice,189,116,61.38,27,True
Atraxi Warden,49,30,61.22,7,True
Adanto Vanguard,154,94,61.04,22,True
Descendant of Storms,182,111,60.99,26,True
Mighty Mutanimals,182,111,60.99,26,True
Journey to Nowhere,238,145,60.92,34,True
Thraben Inspector,238,145,60.92,34,True
Kor Skyfisher,133,81,60.9,19,True
Battle Screech,189,115,60.85,27,True
Greasewrench Goblin,196,119,60.71,28,True
Mana Tithe,112,68,60.71,16,True
Swords to Plowshares,238,144,60.5,34,True
Twinmaw Stormbrood,91,55,60.44,13,True
Rosie Cotton of South Lane,154,93,60.39,22,True
"Renata, Called to the Hunt",63,38,60.32,9,True
Dewdrop Cure,63,38,60.32,9,True
Trumpeting Herd,161,97,60.25,23,True
Geological Appraiser,168,101,60.12,24,True
Seeker of the Way,70,42,60.0,10,True
Githzerai Monk,147,88,59.86,21,True
Inspiring Vantage,189,113,59.79,27,True
Rift Bolt,189,113,59.79,27,True
Duskwatch Recruiter,154,92,59.74,22,True
Tax Collector,154,92,59.74,22,True
Imodane's Recruiter,154,92,59.74,22,True
Sheltered by Ghosts,196,117,59.69,28,True
Seismic Sense,42,25,59.52,6,True
Unearth,168,100,59.52,24,True
Ornithopter of Paradise,42,25,59.52,6,True
Charging Monstrosaur,84,50,59.52,12,True
Dalkovan Packbeasts,175,104,59.43,25,True
Mage's Attendant,133,79,59.4,19,True
Nurturing Pixie,189,112,59.26,27,True
Night Scythe,49,29,59.18,7,True
Flickerwisp,259,153,59.07,37,True
Goblin Banneret,105,62,59.05,15,True
Shrine of Burning Rage,105,62,59.05,15,True
Ahn-Crop Crasher,175,103,58.86,25,True
Brazen Collector,119,70,58.82,17,True
Noise Marine,119,70,58.82,17,True
Heroic Reinforcements,126,74,58.73,18,True
Reckless Pyrosurfer,189,111,58.73,27,True
Touch the Spirit Realm,196,115,58.67,28,True
Monstrous Rage,217,127,58.53,31,True
"Arabella, Abandoned Doll",147,86,58.5,21,True
Painter's Studio // Defaced Gallery,77,45,58.44,11,True
Reinforced Ronin,154,90,58.44,22,True
General Marhault Elsdragon,77,45,58.44,11,True
Rabbit Battery,161,94,58.39,23,True
The Aesir Escape Valhalla,168,98,58.33,24,True
Heartfire Hero,182,106,58.24,26,True
Samurai's Katana,203,118,58.13,29,True
Flametongue Yearling,217,126,58.06,31,True
Writhing Chrysalis,112,65,58.04,16,True
Ominous Cemetery,238,138,57.98,34,True
Brimstone Volley,196,113,57.65,28,True
Rise of the Ants,35,20,57.14,5,True
Getaway Glamer,119,68,57.14,17,True
Imperious Perfect,28,16,57.14,4,True
Cast Out,140,80,57.14,20,True
Arc Trail,161,92,57.14,23,True
Fire Magic,98,56,57.14,14,True
Dragon Sniper,77,44,57.14,11,True
Drix Interception,28,16,57.14,4,True
"Elas il-Kor, Sadistic Pilgrim",84,48,57.14,12,True
Ghor-Clan Rampager,77,44,57.14,11,True
Rootbound Crag,84,48,57.14,12,True
The Cave of Two Lovers,14,8,57.14,2,True
Eldrazi Ravager,7,4,57.14,1,False
Shepherd of the Flock,42,24,57.14,6,True
Shroudstomper,14,8,57.14,2,True
Guarded Heir,7,4,57.14,1,False
Icy Manipulator,28,16,57.14,4,True
Perilous Landscape,7,4,57.14,1,False
Thopter Squadron,7,4,57.14,1,False
Dragon's Rage Channeler,196,111,56.63,28,True
Shock Brigade,196,111,56.63,28,True
Twinshot Sniper,182,103,56.59,26,True
Mogg War Marshal,175,99,56.57,25,True
Sunbaked Canyon,168,95,56.55,24,True
Fireblast,133,75,56.39,19,True
Curse of Predation,112,63,56.25,16,True
Flametongue Kavu,217,122,56.22,31,True
Amethyst Dragon,105,59,56.19,15,True
Goblin Surprise,105,59,56.19,15,True
Ghostfire Slice,203,114,56.16,29,True
Frost Trickster,98,55,56.12,14,True
"Goliath, Mass Manipulator",168,94,55.95,24,True
Faerie Vandal,168,94,55.95,24,True
Hordeling Outburst,154,86,55.84,22,True
Combat Thresher,154,86,55.84,22,True
Glyph Elemental,154,86,55.84,22,True
