"Draft","Seat","Colors","Archetype","Themes","Creatures","Noncreatures","Lands","Avg MV","Mainboard","Sideboard"
"1","1","Green","G Stompy","Enchantments","13","10","17","3.26","Survival of the Fittest, Survival of the Fittest, Genesis, Plow Under, Eternal Witness, Eternal Witness, Wall of Roots, Blinkmoth Nexus, Llanowar Elves, Uktabi Orangutan, Saproling Burst, Rampant Growth, Sylvan Library, Symbiotic Wurm, Rancor, Tranquil Thicket, Basking Rootwalla, Basking Rootwalla, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Treetop Village, Roar of the Wurm, Roar of the Wurm, Karplusan Forest, Karplusan Forest, Karplusan Forest, Birds of Paradise, Blastoderm, Arrogant Wurm, Fires of Yavimaya, Wild Mongrel","Wildfire, Wonder, Last Rites, Llanowar Wastes, Starstorm, Gempalm Incinerator, Spike Feeder, Masticore, Goblin Taskmaster, Reflecting Pool, Stone Rain, Pouncing Jaguar, Astral Slide, Spike Weaver, Black Knight, Thunderscape Battlemage, Flametongue Kavu, Spite // Malice, Mogg Flunkies, Hydroblast, Cephalid Coliseum, Avalanche Riders, Elfhame Palace, Tradewind Rider, Rising Waters, Siege-Gang Commander, Fires of Yavimaya, Parallax Tide, Pyroclasm, Soltari Priest, Bloodstained Mire"
"1","2","Blue","U Artifacts","Artifacts, Spells","0","23","17","2.74","Talisman of Progress, Talisman of Progress, Voltaic Key, Winter Orb, Sky Diamond, Grim Monolith, Grim Monolith, Tinker, Tinker, Yavimaya Coast, Yavimaya Coast, Fact or Fiction, Fact or Fiction, Fact or Fiction, Upheaval, Miscalculation, Miscalculation, Thran Dynamo, Worn Powerstone, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Island, Memory Lapse, Mana Leak, Counterspell, Counterspell, Counterspell, Thoughtcast, Adarkar Wastes, Flooded Strand, Cloudpost","Ancient Den, Simoon, Gush, Frantic Search, Accumulated Knowledge, Llanowar Wastes, Brainstorm, Yavimaya Coast, Deep Analysis, Dismiss, Attunement, Soltari Monk, Merfolk Looter, Man-o'-War, Man-o'-War, Llanowar Elves, Mishra's Helix, Repulse, Capsize, Force Spike, Arcanis the Omnipotent, Thirst for Knowledge, Fellwar Stone, Nevinyrral's Disk, Condescend, Akroma's Vengeance, Wing Shards, Thawing Glaciers, Control Magic, Wall of Blossoms, Seal of Removal, Impulse"
"1","3","Green","G Stompy","Green","15","8","17","2.91","Albino Troll, Albino Troll, Nimble Mongoose, Overrun, Squirrel Nest, Eternal Witness, Weatherseed Treefolk, Elvish Archers, Giant Growth, Creeping Mold, Creeping Mold, Viridian Shaman, Centaur Garden, Masticore, Saproling Burst, Gaea's Cradle, River Boa, Werebear, Phantom Centaur, Rancor, Tranquil Thicket, Tranquil Thicket, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Forest, Karplusan Forest, Birds of Paradise, Erhnam Djinn, Blastoderm, Wild Mongrel, Call of the Herd","Wildfire, Shivan Reef, Warrior en-Kor, Llanowar Wastes, Spiritmonger, Yavimaya Coast, Gempalm Incinerator, Wax // Wane, Aquamoeba, Attunement, Arcbound Worker, Arcbound Worker, Daze, Wild Dogs, Soltari Visionary, Kavu Chameleon, Shatter, Mirari's Wake, Thornscape Battlemage, Barbed Sextant, Cloudchaser Eagle, Flametongue Kavu, Sparksmith, Mogg Flunkies, Stitch Together, Karplusan Forest, Opposition, Misdirection, Ironclaw Orcs, Myr Incubator, Anger, Crumbling Sanctuary"
"1","4","Black/Red","BR Aristocrats","Spells","7","16","17","2.39","Cabal Therapy, Urborg Volcano, Diabolic Edict, Shivan Reef, Shivan Reef, Shadowblood Ridge, Phyrexian Tower, Patriarch's Bidding, Ravenous Rats, Duress, Lightning Bolt, Blazing Specter, Undead Gladiator, Dark Ritual, Dark Ritual, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Terminate, Innocent Blood, Volrath's Stronghold, Hypnotic Specter, Hypnotic Specter, Necropotence, Necropotence, Recurring Nightmare, Shock, Smother, Stupor, Nekrataal, Nekrataal, Drain Life, Bloodstained Mire","Aeolipile, Shivan Reef, Doomed Necromancer, Firestorm, Hammer of Bogardan, Urza's Rage, Addle, Somber Hoverguard, Heart of Ramos, Serum Visions, Deep Analysis, Reflecting Pool, Salt Marsh, Ball Lightning, Ball Lightning, Mogg Fanatic, Quiet Speculation, Earthquake, Akroma's Vengeance, Zombify, Skirk Prospector, Howling Mine, Goblin Sharpshooter, Phantom Nishoba, Chrome Mox, Staunch Defenders, Phyrexian Negator, City of Brass, Yawgmoth's Bargain, Soltari Priest"
"1","5","Red","R Burn","Artifacts, Spells, Goblins","11","12","17","2.04","Wasteland, Pillage, Goblin Warchief, Goblin Warchief, Blinkmoth Nexus, Lightning Bolt, Lightning Bolt, Lightning Bolt, Goblin Piledriver, Cursed Scroll, Cranial Plating, Sulfuric Vortex, Jackal Pup, Jackal Pup, Ghitu Encampment, Fireblast, Ornithopter, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Mountain, Fireball, Goblin Sledder, Goblin Sledder, Mogg Flunkies, Tangle Wire, Ironclaw Orcs, Shrapnel Blast, Incinerate, Siege-Gang Commander, City of Traitors, Rishadan Port, Great Furnace, Great Furnace, Sulfurous Springs","Ancient Den, Dark Banishing, Phyrexian Processor, Phyrexian Processor, Yavimaya Coast, Scrabbling Claws, Goblin Grappler, Plague Spitter, Krark-Clan Ironworks, Krark-Clan Ironworks, Arcbound Worker, Arcbound Worker, Astral Slide, Soltari Visionary, Fire Diamond, Disenchant, Frogmite, Opposition, Covetous Dragon, Covetous Dragon, Evincar's Justice, Disciple of the Vault, Elfhame Palace, Order of Leitbur, Order of Leitbur, Welding Jar, Saprazzan Skerry, Aura of Silence, City of Brass"
"1","6","White","W Control","Spells, Enchantments","5","18","17","3.48","Eternal Dragon, Eternal Dragon, Parallax Wave, Parallax Wave, Balance, Ancient Tomb, Windswept Heath, Exalted Angel, Wrath of God, Wrath of God, Wrath of God, Replenish, Replenish, Opalescence, Opalescence, Brushland, Decree of Justice, Decree of Justice, Secluded Steppe, Secluded Steppe, Swords to Plowshares, Swords to Plowshares, Swords to Plowshares, Swords to Plowshares, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Enlightened Tutor, Land Tax, Academy Rector, Academy Rector, Cloudpost","Warrior en-Kor, Recoil, Squirrel Nest, Exalted Angel, Llanowar Wastes, Glory, Wall of Roots, Serra Angel, Brushland, Pacifism, Skycloud Expanse, Verdant Force, Tree of Tales, Seal of Cleansing, Renewed Faith, Cataclysm, Waterfront Bouncer, Nomads en-Kor, Nomads en-Kor, Anurid Brushhopper, Autumn Willow, Mind Stone, Armageddon, Ghazbán Ogre, Birds of Paradise, Birds of Paradise, Krosan Verge, Empyrial Armor, Empyrial Armor, Call of the Herd, Wall of Blossoms"
"1","7","Black/Blue","BU Artifacts","Artifacts","13","10","17","2.96","Vault of Whispers, Voltaic Key, Voltaic Key, Grim Monolith, Icy Manipulator, Seat of the Synod, Seat of the Synod, Somber Hoverguard, Darkwater Catacombs, Talisman of Dominance, Swamp, Swamp, Mishra's Factory, Crystal Vein, Arcbound Ravager, Arcbound Ravager, Arcbound Ravager, Cranial Plating, Underground River, Karn, Silver Golem, Darksteel Citadel, Metalworker, Metalworker, Ornithopter, Frogmite, Frogmite, Frogmite, Worn Powerstone, Island, Island, Island, Island, Island, Tangle Wire, Disciple of the Vault, Mind Stone, Phyrexian Colossus, Thoughtcast, Cloudpost, Cloudpost","Shivan Reef, Frantic Search, Accumulated Knowledge, Defense Grid, Order of the Ebon Hand, Llanowar Wastes, Icy Manipulator, Temporal Aperture, Bottle Gnomes, Deep Analysis, Pentad Prism, Skycloud Expanse, Jester's Cap, Miscalculation, Thirst for Knowledge, Force of Will, Thran Dynamo, Renewed Faith, Fire // Ice, Circular Logic, Powder Keg, Counterspell, Ivory Tower, Confiscate, Psychatog, Arrogant Wurm, Paladin en-Vec"
"1","8","Black/Blue","BU Reanimator","Spells","3","20","17","2.65","Vault of Whispers, Dance of the Dead, Tinker, Entomb, Yawgmoth's Will, Yawgmoth's Will, Barren Moor, Careful Study, Dark Ritual, Dark Ritual, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Mishra's Factory, Opt, Spirit of the Night, Visara the Dreadful, Buried Alive, Underground River, Underground River, Necropotence, Force of Will, Force of Will, Hymn to Tourach, Recurring Nightmare, Circular Logic, Island, Island, Island, Psychatog, Ghastly Demise, Chrome Mox, Vampiric Tutor, Mystical Tutor","Zuran Orb, Gemstone Mine, Ray of Distortion, Accumulated Knowledge, Accumulated Knowledge, Patriarch's Bidding, Rapid Decay, Order of the Ebon Hand, Contagion, Fallen Askari, Vendetta, Vendetta, Nightscape Familiar, Serrated Arrows, Soltari Monk, Undermine, Forbid, Chainer's Edict, Chainer's Edict, Kjeldoran Outpost, Knight of Stromgald, Secluded Steppe, Black Knight, Barbed Sextant, Phyrexian Scuta, Order of Leitbur, White Knight, Black Vise, Drain Life, Phyrexian Arena, Flooded Strand, Reprisal"
"2","1","Black/Blue","BU Tempo","Spells","4","19","17","3.30","Vault of Whispers, Shivan Reef, Accumulated Knowledge, Barren Moor, Fact or Fiction, Vendetta, Swamp, Swamp, Mishra's Factory, Dismiss, Crystal Vein, Masticore, Volrath's Stronghold, Chainer's Edict, Miscalculation, Miscalculation, Force of Will, Force of Will, Force of Will, Condescend, Circular Logic, Circular Logic, Island, Island, Island, Island, Island, Island, Island, Island, Island, Spite // Malice, Mana Leak, Powder Keg, Control Magic, Nekrataal, Confiscate, Psychatog, Psychatog, Vampiric Tutor","Talisman of Progress, Wildfire, Shivan Reef, Shadowblood Ridge, Gush, Order of the Ebon Hand, Last Rites, Urza's Rage, Phyrexian Processor, Phyrexian Processor, Yavimaya Coast, Talisman of Dominance, Temporal Aperture, Attunement, Reflecting Pool, Astral Slide, Ball Lightning, Hypnotic Specter, Saproling Burst, Black Knight, Recurring Nightmare, Frogmite, Fire // Ice, Anurid Brushhopper, Opposition, Evincar's Justice, Rising Waters, Order of Leitbur, Black Vise, Parallax Tide, Drain Life"
"2","2","Blue","U Artifacts","Artifacts","6","17","17","2.91","Voltaic Key, Winter Orb, Grim Monolith, Grim Monolith, Tinker, Icy Manipulator, Yavimaya Coast, Yavimaya Coast, Yavimaya Coast, Scrabbling Claws, Llanowar Elves, Krark-Clan Ironworks, Upheaval, Karn, Silver Golem, Thirst for Knowledge, Fellwar Stone, Metalworker, Ornithopter, Thran Dynamo, Frogmite, Worn Powerstone, Worn Powerstone, Island, Island, Island, Island, Island, Island, Forest, Forest, Forest, Forest, Mind Stone, Phyrexian Colossus, Thoughtcast, Chrome Mox, Cloudpost, Cloudpost, Cloudpost, Cloudpost","Vault of Whispers, Nimble Mongoose, Warrior en-Kor, Accumulated Knowledge, Plow Under, Order of the Ebon Hand, Wall of Roots, Weatherseed Treefolk, Elvish Archers, Deep Analysis, Creeping Mold, Creeping Mold, Viridian Shaman, Centaur Garden, Arcbound Worker, Pouncing Jaguar, Spike Weaver, Gaea's Cradle, Kavu Chameleon, Jester's Cap, Tree of Tales, Sylvan Library, Memory Lapse, Covetous Dragon, Birds of Paradise, Blastoderm, Order of Leitbur, Welding Jar, Call of the Herd, Phyrexian Negator"
"2","3","White","W Weenie","Artifacts, Soltaris, Creatures","16","7","17","2.04","Ancient Den, Ancient Den, Ancient Tomb, Cursed Scroll, Swamp, Mishra's Factory, Soltari Monk, Soltari Monk, Arcbound Ravager, Arcbound Ravager, Arcbound Ravager, Arcbound Worker, Arcbound Worker, Cranial Plating, Cranial Plating, Soltari Visionary, Soltari Visionary, Kjeldoran Outpost, Darksteel Citadel, Secluded Steppe, Secluded Steppe, Ornithopter, Disenchant, Frogmite, Frogmite, Swords to Plowshares, Plains, Plains, Plains, Plains, Plains, Plains, Plains, Armageddon, White Knight, Chrome Mox, Great Furnace, Soltari Priest, Soltari Priest, Paladin en-Vec","Aeolipile, Parallax Wave, Parallax Wave, Wildfire, Simoon, Wrath of God, Wrath of God, Glory, Somber Hoverguard, Goblin Grappler, Serra Angel, Heart of Ramos, Pacifism, Goblin Taskmaster, Krark-Clan Ironworks, Ghitu Encampment, Seal of Cleansing, Renewed Faith, Cataclysm, Covetous Dragon, Disciple of the Vault, Autumn Willow, Order of Leitbur, Aura of Silence, Anger, Empyrial Armor, Great Furnace, Sulfurous Springs"
"2","4","Green/White","GW Counters","Humans","13","10","17","2.65","Survival of the Fittest, Exalted Angel, Eternal Witness, Eternal Witness, Eternal Witness, Llanowar Wastes, Wall of Roots, Replenish, Replenish, Opalescence, Opalescence, Brushland, Brushland, Llanowar Elves, Mirari's Wake, Rampant Growth, Tranquil Thicket, Tranquil Thicket, Swords to Plowshares, Swords to Plowshares, Forest, Forest, Forest, Forest, Forest, Plains, Plains, Plains, Plains, Plains, Enlightened Tutor, Elfhame Palace, Elfhame Palace, Birds of Paradise, Birds of Paradise, Birds of Paradise, Academy Rector, Academy Rector, Wall of Blossoms, Wall of Blossoms","Ray of Distortion, Overrun, Squirrel Nest, Squirrel Nest, Llanowar Wastes, Wrath of God, Wax // Wane, Spike Feeder, Man-o'-War, Decree of Justice, Reflecting Pool, Wild Dogs, Verdant Force, River Boa, Phantom Centaur, Rancor, Akroma's Vengeance, Wing Shards, Nomads en-Kor, Nomads en-Kor, Opposition, Thawing Glaciers, Tradewind Rider, Adarkar Wastes, Krosan Verge, Arrogant Wurm, Staunch Defenders, Empyrial Armor, City of Brass, Reprisal"
"2","5","Black/Blue","BU Combo","Artifacts, Spells","1","22","17","2.57","Voltaic Key, Shivan Reef, Frantic Search, Frantic Search, Sky Diamond, Tinker, Yawgmoth's Will, Yawgmoth's Will, Duress, Brainstorm, Seat of the Synod, Fact or Fiction, Dark Ritual, Dark Ritual, Swamp, Swamp, Swamp, Pentad Prism, Underground River, Underground River, Thirst for Knowledge, Necropotence, Necropotence, Metalworker, Island, Island, Island, Island, Island, Island, Misdirection, Cephalid Coliseum, Counterspell, Counterspell, Howling Mine, Saprazzan Skerry, City of Traitors, Rishadan Port, Impulse, Yawgmoth's Bargain","Albino Troll, Eternal Dragon, Gemstone Mine, Shivan Reef, Recoil, Starstorm, Icy Manipulator, Contagion, Fallen Askari, Bottle Gnomes, Giant Growth, Attunement, Man-o'-War, Undermine, Forbid, Astral Slide, Barbed Sextant, Barbed Sextant, Tranquil Thicket, Phyrexian Scuta, Basking Rootwalla, Hydroblast, Karplusan Forest, Disciple of the Vault, Erhnam Djinn, Phantom Nishoba, Pyroclasm, Phyrexian Arena, City of Brass"
"2","6","Black/Blue","BU Tempo","Spells","8","15","17","2.87","Diabolic Edict, Doomed Necromancer, Dance of the Dead, Entomb, Llanowar Wastes, Careful Study, Darkwater Catacombs, Undead Gladiator, Dark Ritual, Dark Ritual, Aquamoeba, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Swamp, Deep Analysis, Innocent Blood, Salt Marsh, Spirit of the Night, Visara the Dreadful, Buried Alive, Underground River, Symbiotic Wurm, Recurring Nightmare, Smother, Island, Waterfront Bouncer, Zombify, Stitch Together, Nekrataal, Ghastly Demise, Mystical Tutor","Cabal Therapy, Dark Banishing, Survival of the Fittest, Firestorm, Genesis, Wonder, Patriarch's Bidding, Exalted Angel, Ravenous Rats, Addle, Spiritmonger, Blazing Specter, Vendetta, Nightscape Familiar, Plague Spitter, Terminate, Uktabi Orangutan, Hypnotic Specter, Chainer's Edict, Arcanis the Omnipotent, Knight of Stromgald, Miscalculation, Black Knight, Necropotence, Nevinyrral's Disk, Werebear, Hymn to Tourach, Thunderscape Battlemage, Stupor, Ironclaw Orcs, Drain Life, Wild Mongrel, Wild Mongrel"
