card_name,games_played,wins,winrate_pct,distinct_drafts,reliable
Goblin Piledriver,203,181,89.16,29,True
Goblin Warchief,259,225,86.87,35,True
Gempalm Incinerator,238,206,86.55,33,True
Ball Lightning,231,199,86.15,31,True
Mogg Flunkies,266,229,86.09,35,True
Jackal Pup,287,247,86.06,38,True
Fireblast,217,186,85.71,31,True
Mogg Fanatic,245,210,85.71,35,True
Reprisal,7,6,85.71,1,False
Skirk Prospector,98,84,85.71,14,True
Goblin Grappler,7,6,85.71,1,False
Bottle Gnomes,7,6,85.71,1,False
Siege-Gang Commander,287,245,85.37,40,True
Goblin Sharpshooter,231,197,85.28,33,True
Sulfuric Vortex,231,195,84.42,33,True
Sparksmith,161,135,83.85,23,True
Fireball,133,111,83.46,19,True
Goblin Sledder,175,146,83.43,23,True
Hammer of Bogardan,238,197,82.77,34,True
Shock,224,185,82.59,32,True
Ghitu Encampment,238,195,81.93,34,True
Ironclaw Orcs,140,114,81.43,19,True
Incinerate,294,237,80.61,42,True
Nimble Mongoose,56,45,80.36,8,True
Phantom Centaur,203,163,80.3,29,True
Erhnam Djinn,49,39,79.59,7,True
Cursed Scroll,140,110,78.57,20,True
Flametongue Kavu,308,242,78.57,39,True
Starstorm,14,11,78.57,2,True
Albino Troll,147,115,78.23,20,True
Weatherseed Treefolk,168,131,77.98,24,True
Thornscape Battlemage,35,27,77.14,5,True
Overrun,154,118,76.62,22,True
Basking Rootwalla,266,203,76.32,37,True
Gaea's Cradle,336,256,76.19,48,True
Werebear,252,192,76.19,36,True
Urza's Rage,84,64,76.19,12,True
Warrior en-Kor,21,16,76.19,3,True
Goblin Taskmaster,21,16,76.19,3,True
Blastoderm,266,202,75.94,35,True
Genesis,294,223,75.85,42,True
Viridian Shaman,161,122,75.78,23,True
River Boa,189,143,75.66,27,True
Rancor,329,248,75.38,37,True
Fires of Yavimaya,84,63,75.0,12,True
Anger,28,21,75.0,4,True
Call of the Herd,385,288,74.81,44,True
Saproling Burst,126,94,74.6,17,True
Creeping Mold,35,26,74.29,5,True
Soltari Visionary,35,26,74.29,5,True
Giant Growth,42,31,73.81,6,True
Avalanche Riders,91,67,73.63,13,True
Wild Mongrel,371,273,73.58,44,True
Treetop Village,301,221,73.42,43,True
Pillage,112,82,73.21,16,True
Arrogant Wurm,301,220,73.09,39,True
Llanowar Elves,441,318,72.11,49,True
Centaur Garden,196,141,71.94,28,True
Lightning Bolt,532,381,71.62,49,True
Shrapnel Blast,126,90,71.43,18,True
Elvish Archers,35,25,71.43,5,True
Survival of the Fittest,406,290,71.43,48,True
